GUID,NUTS1,NUTS1NAME,NUTS2,NUTS2NAME,NUTS3,NUTS3NAME,COUNTY,COUNTYNAME,CSOED,OSIED,EDNAME,SA_PUB2011,SMALL_AREA,GEOGID,GEOGDESC,TO_POP2016,TO_HOU2016,AREA_SQMET,POP_DENS,DEP_RATIO,PER_NONIRE,HO_PRE2001,HO_POS2001,PER_FLAPBE,PER_RENT,PER_VAC,PER_UNEM,PER_PROF,PER_O_OCC,PER_3ED,PER_NO3ED,AV_PER_HOU,PER_NO_INT,PER_DISAB,TO_POP2011,PER_CH_POP,TO_HOU2011,PER_CH_HOU
4c07d11e-30aa-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02110,268085,Kilmainham C,268085016,268085016,A268085016,Small Area,298,129,32992.55094982798,9032.34,39.25,17.63,109,1,1.55,26.36,12.24,6.74,24.03,75.97,35.32,47.71,2.28,6.2,18.46,295,1.02,129,0
4c07d11e-3334-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02132,268117,Pembroke West C,268117004,268117004,A268117004,Small Area,211,82,32898.980351805265,6413.57,17.22,37.99,61,2,69.51,62.2,16.16,3.66,32.93,67.07,67.5,20,2.23,13.41,6.16,201,4.98,74,10.81
4c07d11e-3421-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02134,268128,Rathmines East A,268128018,268128018,A268128018,Small Area,153,61,32836.430259341316,4659.46,53,17.81,39,18,24.59,47.54,26.74,4.65,54.1,45.9,81.03,13.79,2.61,1.64,5.88,157,-2.55,65,-6.15
4c07d11e-2d5d-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02073,268104,Mountjoy A,268104003,268104003,A268104003,Small Area,372,98,32822.62793602926,11333.64,21.57,47.08,55,29,75.51,80.61,16.1,6.73,11.22,88.78,34.66,45.49,2.71,8.16,12.63,527,-29.41,101,-2.97
4c07d11e-30ea-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02123,268102,Merchants Quay E,268102009,268102009,A268102009,Small Area,280,121,32698.34847987126,8563.12,37.25,17.75,108,1,19.83,29.75,8.21,3.77,39.67,60.33,61.08,27.09,2.25,4.13,12.14,272,2.94,115,5.22
4c07d11e-33cb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02130,268115,Pembroke West A,268115021,268115021,A268115021,Small Area,282,101,32611.9326659638,8647.14,47.64,2.16,96,2,1.98,19.8,7.34,5.79,29.7,70.3,36,49.5,2.75,0.99,13.83,276,2.17,103,-1.94
4c07d11e-362c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02002,268002,Arran Quay B,268002005,268002005,A268002005,Small Area,343,144,32488.51165873605,10557.58,27.51,34.32,91,5,36.81,45.83,3.97,9.52,25,75,49.37,41,2.38,18.06,7,298,15.1,131,9.92
4c07d11e-33fe-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02127,268112,Pembroke East C,268112006,268112006,A268112006,Small Area,201,91,32396.53890301269,6204.37,87.85,15.66,84,0,12.09,31.87,13.76,0.54,47.25,52.75,41.32,49.7,1.74,6.59,26.37,223,-9.87,96,-5.21
4c07d11e-3497-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02146,268142,St. Kevin's,268142004,268142004,A268142004,Small Area,210,92,32350.681806411692,6491.36,18.64,26.11,73,1,40.22,54.35,21.19,2.54,43.48,56.52,72.22,16.05,2.17,4.35,10.48,220,-4.55,103,-10.68
4c07d11e-335f-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02147,268143,South Dock,268143008,268143008,A268143008,Small Area,287,105,32313.875513186264,8881.63,45.69,8.01,75,1,44.76,52.38,14.4,8.61,12.38,87.62,13.74,75.83,2.77,14.29,19.16,295,-2.71,107,-1.87
4c07d11e-2b7c-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02129,268114,Pembroke East E,268114008,268114008,A268114008,Small Area,229,76,32239.75454432326,7103.03,22.46,24.06,63,0,59.21,51.32,26.13,2.84,44.74,55.26,70.48,19.28,2.13,6.58,6.11,244,-6.15,101,-24.75
4c07d11e-33ec-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02129,268114,Pembroke East E,268114016,268114016,A268114016,Small Area,190,78,32234.860740412794,5894.24,23.38,26.82,57,4,33.33,47.44,19.42,4.73,42.31,57.69,74.81,20,2.4,8.97,8.42,183,3.83,83,-6.02
4c07d11e-3035-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02138,268132,Rathmines West A,268132002,268132002,A268132002,Small Area,271,128,32182.02106226862,8420.85,44.92,6.34,121,0,0,17.19,11.72,5.24,22.66,77.34,32.73,56.82,2.14,1.56,19.56,284,-4.58,133,-3.76
4c07d11e-2bad-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02126,268111,Pembroke East B,268111008,268111008,A268111008,Small Area,178,72,32143.79894640331,5537.62,48.33,10.29,66,2,19.44,29.17,8.86,2.65,36.11,63.89,51.59,34.92,2.5,2.78,16.29,161,10.56,69,4.35
4c07d11e-2cbd-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02009,268009,Ballybough A,268009003,268009003,A268009003,Small Area,237,103,32125.109820593447,7377.41,37.79,25,91,0,14.56,38.83,10.34,6.19,20.39,79.61,45.51,39.52,2.34,6.8,13.92,231,2.6,100,3
4c07d11e-382e-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02073,268104,Mountjoy A,268104001,268104001,A268104001,Small Area,668,84,32033.93424177422,20852.89,10.41,71.13,51,11,83.33,75,12,3.97,15.48,84.52,24.15,68.22,2.46,9.52,5.39,771,-13.36,73,15.07
4c07d11e-388a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02029,268029,Botanic C,268029003,268029003,A268029003,Small Area,267,130,31875.030380177384,8376.46,13.14,36.5,80,1,48.46,60,23.7,5.26,15.38,84.62,42.86,45.6,2.03,20.77,8.61,253,5.53,138,-5.8
4c07d11e-34be-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02154,268150,Ushers C,268150005,268150005,A268150005,Small Area,198,85,31749.215316488815,6236.37,11.24,58.88,27,52,80,81.18,13,8.33,16.47,83.53,44.68,33.33,2.44,7.06,11.62,220,-10,89,-4.49
4c07d11e-3872-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02088,268138,Rotunda A,268138011,268138011,A268138011,Small Area,485,136,31687.472670684972,15305.73,27.3,22.31,99,0,97.79,79.41,14.37,17.43,2.94,97.06,15.7,72.45,2.2,22.06,17.11,469,3.41,136,0
4c07d11e-38cb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02029,268029,Botanic C,268029001,268029001,A268029001,Small Area,267,106,31541.69023289939,8464.99,23.04,29.92,67,0,24.53,39.62,17.69,6.2,24.53,75.47,44.04,46.11,2.53,22.64,8.99,218,22.48,105,0.95
4c07d11e-30eb-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02154,268150,Ushers C,268150003,268150003,A268150003,Small Area,278,121,31531.548988552764,8816.57,34.3,10.83,104,0,0.83,29.75,8.33,9.84,10.74,89.26,14.21,73.68,2.34,4.13,26.26,283,-1.77,121,0
4c07d11e-34ec-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02101,268054,Crumlin D,268054013,268054013,A268054013,Small Area,231,101,31506.11476140707,7331.91,48.08,13.16,92,2,6.93,28.71,8.18,5.56,12.87,87.13,17.65,66.47,2.31,0.99,20.35,220,5,98,3.06
4c07d11e-384a-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02047,268058,Drumcondra South A,268058010,268058010,A268058010,Small Area,265,127,31431.329006006697,8431.08,17.78,28.3,48,59,73.23,62.2,14.77,7.76,32.28,67.72,53.37,29.21,2.07,2.36,12.45,272,-2.57,144,-11.81
4c07d11e-3509-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02157,268153,Ushers F,268153010,268153010,A268153010,Small Area,270,136,31427.7937911425,8591.12,25.58,19.7,106,12,5.88,32.35,4.9,3.75,28.68,71.32,55.68,35.14,2.01,5.88,11.48,261,3.45,124,9.68
4c07d11e-3348-851d-e053-ca3ca8c0ca7f,IE,Ireland,IE06,Eastern and Midland,IE061,Dublin,DC,Dublin City,02147,268143,South Dock,268143006,268143006,A268143006,Small Area,381,90,31367.69248694694,12146.26,53.01,27.85,63,3,43.33,57.78,20.87,9.56,23.33,76.67,50,36.73,2.48,10,9.45,400,-4.75,95,-5.26
